Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_positioning_percent_behind_ball                 54002.0      70.449939       5.455022     0.000000      67.355900      70.771933      74.053715  1.000000e+02
stats_positioning_percent_infront_ball                54002.0      29.550061       5.455022     0.000000      25.946283      29.228063      32.644103  1.000000e+02
stats_positioning_percent_most_back                   54002.0      36.389372       9.187564     0.000000      29.700997      34.317203      43.072542  9.966097e+01
stats_positioning_percent_most_forward                54002.0      40.219645       9.193180     0.000000      33.454958      37.977282      46.937048  9.966097e+01
stats_positioning_percent_closest_to_ball             54002.0      38.725238       8.425574     0.000000      32.656035      36.224185      44.800479  9.966097e+01
stats_positioning_goals_against_while_last_defender   54002.0       0.969890       1.049708     0.000000       0.000000       1.000000       1.000000  1.700000e+01
stats_positioning_percent_farthest_from_ball          54002.0      37.981305       9.072450     0.000000      31.350982      35.475727      44.910066  9.966097e+01
stats_demo_inflicted                                  54002.0       1.392541       1.325597     0.000000       0.000000       1.000000       2.000000  1.700000e+01
stats_demo_taken                                      54002.0       1.000259       1.108609     0.000000       0.000000       1.000000       2.000000  1.800000e+01
tod_sin                                               54002.0      -0.540315       0.467876    -1.000000      -0.905815      -0.705098      -0.309017  9.999851e-01
tod_cos                                               54002.0       0.394524       0.577506    -1.000000       0.069321       0.583955       0.862477  1.000000e+00

--- Cluster 1 ---
                                                        count           mean           std          min            25%            50%            75%           max
team_result                                           94385.0       0.481687      0.502058     0.000000       0.000000       0.000000       1.000000  2.000000e+00
overtime_seconds                                      94385.0       6.893818     34.682385     0.000000       0.000000       0.000000       0.000000  1.795000e+03
stats_core_shots                                      94385.0       2.342788      1.532159     0.000000       1.000000       2.000000       3.000000  1.500000e+01
stats_core_shots_against                              94385.0       7.656873      3.329183     0.000000       5.000000       7.000000      10.000000  9.000000e+01
stats_core_goals                                      94385.0       0.732256      0.864843     0.000000       0.000000       1.000000       1.000000  8.000000e+00
stats_core_goals_against                              94385.0       2.395677      1.669478     0.000000       1.000000       2.000000       3.000000  3.800000e+01
stats_core_saves                                      94385.0       1.289018      1.163701     0.000000       0.000000       1.000000       2.000000  9.000000e+00
stats_core_assists                                    94385.0       0.557758      0.749720     0.000000       0.000000       0.000000       1.000000  6.000000e+00
stats_core_score                                      94385.0     329.661789    145.218578     0.000000     223.000000     314.000000     419.000000  1.193000e+03
stats_core_shooting_percentage                        94385.0      28.302018     34.725770     0.000000       0.000000      20.000000      50.000000  3.000000e+02
stats_boost_bpm                                       94385.0     372.473084     48.565247     0.000000     341.000000     373.000000     404.000000  1.031000e+03
stats_boost_bcpm                                      94385.0     386.549479     50.066105     0.000000     353.760380     386.744350     419.195250  8.144221e+02
stats_boost_avg_amount                                94385.0      49.556997      5.381987     0.000000      46.000000      49.550000      53.020000  1.000000e+02
stats_boost_amount_collected                          94385.0    2088.029931    362.944877     0.000000    1874.000000    2108.000000    2327.000000  4.150000e+03
stats_boost_amount_stolen                             94385.0     413.172951    149.595812     0.000000     306.000000     408.000000     515.000000  1.165000e+03
stats_boost_amount_collected_big                      94385.0    1424.549621    336.082049     0.000000    1211.000000    1435.000000    1649.000000  2.998000e+03
stats_boost_amount_stolen_big                         94385.0     228.519606    132.954267     0.000000     124.000000     210.000000     308.000000  8.790000e+02
stats_boost_amount_collected_small                    94385.0     663.480309    194.936848     0.000000     548.000000     654.000000     766.000000  3.576000e+03
stats_boost_amount_stolen_small                       94385.0     184.653345     69.510856     0.000000     136.000000     178.000000     227.000000  8.500000e+02
stats_boost_count_collected_big                       94385.0      17.180548      4.036837     0.000000      15.000000      17.000000      20.000000  1.000000e+02
stats_boost_count_stolen_big                          94385.0       2.769805      1.557773     0.000000       2.000000       3.000000       4.000000  1.000000e+01
stats_boost_count_collected_small                     94385.0      56.987424     14.166365     0.000000      48.000000      57.000000      66.000000  5.910000e+02
stats_boost_count_stolen_small                        94385.0      15.895916      5.494599     0.000000      12.000000      16.000000      19.000000  8.400000e+01
stats_boost_amount_overfill                           94385.0     284.553933    139.731412     0.000000     183.000000     267.000000     366.000000  1.221000e+03
stats_boost_amount_overfill_stolen                    94385.0      45.937204     46.719067     0.000000       8.000000      32.000000      71.000000  5.920000e+02
stats_boost_amount_used_while_supersonic              94385.0     225.237167    113.854955     0.000000     142.000000     211.000000     293.000000  1.240000e+03
stats_boost_percent_zero_boost                        94385.0      11.443181      4.663843     0.000000       8.107476      10.988919      14.307574  4.684357e+01
stats_boost_percent_full_boost                        94385.0      11.459033      4.921908     0.000000       7.929355      10.656536      14.065878  5.352264e+01
stats_boost_percent_boost_0_25                        94385.0      33.135210      8.372604     0.000000      27.347063      32.898987      38.656420  9.643606e+01
stats_boost_percent_boost_25_50                       94385.0      21.973732      4.754861     0.000000      18.702572      21.765318      25.028326  5.799373e+01
stats_boost_percent_boost_50_75                       94385.0      18.004056      4.675172     0.000000      14.745689      17.719688      20.962845  5.244729e+01
