Deskriptive Statistiken der Features pro Cluster (Mittelwert, Standardabweichung, etc.):

--- Cluster 0 ---
                                                        count           mean            std          min            25%            50%            75%           max
stats_positioning_percent_offensive_half              48357.0      40.442791       5.907365    16.666668      36.446640      40.210754      44.217460  1.000000e+02
stats_positioning_percent_behind_ball                 48357.0      70.121847       5.479497     0.000000      67.052700      70.478730      73.701940  1.000000e+02
stats_positioning_percent_infront_ball                48357.0      29.878153       5.479497     0.000000      26.298060      29.521273      32.947296  1.000000e+02
stats_positioning_percent_most_back                   48357.0      34.609611       8.194232     0.000000      29.107147      33.112755      38.432900  9.966097e+01
stats_positioning_percent_most_forward                48357.0      38.368100       8.339904     0.000000      32.753162      36.611450      42.215870  9.966097e+01
stats_positioning_percent_closest_to_ball             48357.0      36.849550       7.391876     0.000000      32.043587      35.130524      39.382820  9.966097e+01
stats_positioning_goals_against_while_last_defender   48357.0       0.898215       1.015667     0.000000       0.000000       1.000000       1.000000  1.700000e+01
stats_positioning_percent_farthest_from_ball          48357.0      36.237493       8.104377     0.000000      30.873116      34.443140      39.337910  9.966097e+01
stats_demo_inflicted                                  48357.0       1.414356       1.346608     0.000000       0.000000       1.000000       2.000000  1.700000e+01
stats_demo_taken                                      48357.0       1.021631       1.129447     0.000000       0.000000       1.000000       2.000000  1.800000e+01
rank_tier                                             48357.0       6.531216       9.121717     0.000000       0.000000       0.000000      18.000000  2.200000e+01
rank_division                                         48357.0       0.816924       1.314448     0.000000       0.000000       0.000000       2.000000  4.000000e+00
tod_sin                                               48357.0      -0.557082       0.456983    -1.000000      -0.908478      -0.721559      -0.345093  9.999851e-01
tod_cos                                               48357.0       0.412720       0.557224    -1.000000       0.120353       0.586902       0.857092  1.000000e+00

--- Cluster 1 ---
                                                        count           mean           std           min            25%            50%            75%           max
team_result                                           91781.0       0.483019      0.501282      0.000000       0.000000       0.000000       1.000000  2.000000e+00
team_size                                             91781.0       3.130354      0.391488      1.000000       3.000000       3.000000       3.000000  4.000000e+00
duration                                              91781.0     344.373552     50.764427     35.000000     330.000000     347.000000     365.000000  1.998000e+03
overtime_seconds                                      91781.0       6.382759     31.406762      0.000000       0.000000       0.000000       0.000000  1.677000e+03
stats_core_shots                                      91781.0       2.352992      1.535431      0.000000       1.000000       2.000000       3.000000  1.500000e+01
stats_core_shots_against                              91781.0       7.717752      3.285684      0.000000       5.000000       8.000000      10.000000  8.700000e+01
stats_core_goals                                      91781.0       0.744272      0.875036      0.000000       0.000000       1.000000       1.000000  8.000000e+00
stats_core_goals_against                              91781.0       2.398863      1.656779      0.000000       1.000000       2.000000       3.000000  3.700000e+01
stats_core_saves                                      91781.0       1.311154      1.173470      0.000000       0.000000       1.000000       2.000000  1.000000e+01
stats_core_assists                                    91781.0       0.559299      0.749421      0.000000       0.000000       0.000000       1.000000  6.000000e+00
stats_core_score                                      91781.0     333.346063    146.629489      0.000000     226.000000     316.000000     423.000000  1.295000e+03
stats_core_shooting_percentage                        91781.0      28.640555     34.850563      0.000000       0.000000      20.000000      50.000000  3.000000e+02
stats_boost_bpm                                       91781.0     371.629913     48.819736      0.000000     340.000000     372.000000     404.000000  7.750000e+02
stats_boost_bcpm                                      91781.0     385.403469     50.085531      0.000000     352.820680     385.897860     418.370180  6.952224e+02
stats_boost_avg_amount                                91781.0      49.522940      5.379665     23.340000      45.970000      49.500000      52.990000  1.000000e+02
stats_boost_amount_collected                          91781.0    2095.458221    342.212494      0.000000    1882.000000    2109.000000    2323.000000  3.576000e+03
stats_boost_amount_stolen                             91781.0     412.935335    147.860242      0.000000     307.000000     408.000000     513.000000  1.165000e+03
stats_boost_amount_collected_big                      91781.0    1429.109609    328.340976      0.000000    1218.000000    1438.000000    1649.000000  2.975000e+03
stats_boost_amount_stolen_big                         91781.0     228.265011    132.781191      0.000000     124.000000     209.000000     307.000000  8.790000e+02
stats_boost_amount_collected_small                    91781.0     666.348612    190.617304      0.000000     552.000000     656.000000     765.000000  3.576000e+03
stats_boost_amount_stolen_small                       91781.0     184.670324     68.358676      0.000000     136.000000     178.000000     226.000000  8.500000e+02
